Date,Price,Open,High,Low,Vol.,Change %
01/24/2024,"8,182.00","8,164.00","8,203.00","8,149.00",0.10K,0.22%
01/23/2024,"8,164.00","8,178.00","8,187.00","8,150.00",0.27K,-0.17%
01/22/2024,"8,178.00","8,151.00","8,204.00","8,148.00",0.54K,0.74%
01/19/2024,"8,118.00","8,107.00","8,137.00","8,096.00",0.74K,0.45%
01/18/2024,"8,082.00","8,083.00","8,114.00","8,040.00",2.02K,-0.22%
01/17/2024,"8,100.00","8,120.00","8,124.00","8,055.00",1.42K,0.55%
01/16/2024,"8,056.00","8,009.00","8,115.00","8,009.00",1.41K,0.14%
01/15/2024,"8,045.00","7,900.00","7,980.00","7,900.00",0.57K,1.63%
01/12/2024,"7,916.00","7,935.00","7,936.00","7,859.00",0.15K,0.42%
01/11/2024,"7,883.00","7,800.00","7,899.00","7,800.00",0.11K,-0.42%
01/10/2024,"7,916.00","7,930.00","7,930.00","7,839.00",0.05K,-0.19%
01/09/2024,"7,931.00","7,931.00","7,950.00","7,928.00",0.20K,-0.80%
01/08/2024,"7,995.00","8,013.00","8,013.00","7,931.00",0.08K,0.99%
01/05/2024,"7,917.00","8,022.00","8,022.00","7,887.00",0.10K,-0.84%
01/04/2024,"7,984.00","8,088.00","8,088.00","7,761.00",0.45K,-1.16%
01/03/2024,"8,078.00","8,039.00","8,137.00","8,039.00",0.38K,-0.57%
01/02/2024,"8,124.00","8,125.00","8,148.00","7,762.00",1.39K,-1.00%
12/29/2023,"8,206.00","8,220.00","8,240.00","8,125.00",8.62K,-0.57%
12/28/2023,"8,253.00","8,258.00","8,275.00","8,223.00",10.49K,-0.06%
12/27/2023,"8,258.00","8,230.00","8,317.00","8,207.00",24.54K,0.40%
12/26/2023,"8,225.00","8,228.00","8,243.00","8,206.00",12.97K,0.34%
12/25/2023,"8,197.00","8,186.00","8,236.00","8,163.00",20.04K,0.13%
12/22/2023,"8,186.00","8,180.00","8,217.00","8,149.00",33.46K,0.11%
12/21/2023,"8,177.00","8,177.00","8,205.00","8,144.00",25.92K,0.44%
12/20/2023,"8,141.00","8,111.00","8,182.00","8,090.00",43.07K,0.35%
12/19/2023,"8,113.00","8,100.00","8,139.00","8,089.00",32.78K,0.35%
12/18/2023,"8,085.00","8,113.00","8,116.00","8,050.00",37.82K,0.00%
12/15/2023,"8,085.00","8,066.00","8,119.00","8,054.00",56.24K,3.05%
12/14/2023,"7,846.00","7,846.00","7,846.00","7,846.00",0.05K,-1.46%
12/13/2023,"7,962.00","7,962.00","7,962.00","7,962.00",,0.43%
12/12/2023,"7,928.00","7,931.00","7,931.00","7,928.00",0.01K,0.35%
12/11/2023,"7,900.00","7,900.00","7,900.00","7,900.00",0.00K,0.00%
12/08/2023,"7,900.00","7,900.00","7,900.00","7,900.00",,0.00%
12/07/2023,"7,900.00","7,900.00","7,900.00","7,900.00",0.01K,0.36%
12/06/2023,"7,872.00","7,850.00","7,895.00","7,850.00",0.00K,0.61%
12/05/2023,"7,824.00","7,845.00","7,845.00","7,821.00",0.07K,-0.27%
12/04/2023,"7,845.00","7,858.00","7,901.00","7,801.00",0.22K,-0.30%
12/01/2023,"7,869.00","7,897.00","7,897.00","7,844.00",0.02K,-0.62%
11/30/2023,"7,918.00","7,851.00","7,936.00","7,850.00",0.13K,1.05%
11/29/2023,"7,836.00","7,827.00","7,860.00","7,827.00",0.27K,0.11%
11/28/2023,"7,827.00","7,851.00","7,857.00","7,800.00",0.66K,-0.37%
11/27/2023,"7,856.00","7,901.00","7,901.00","7,831.00",0.44K,0.19%
11/24/2023,"7,841.00","7,825.00","7,901.00","7,813.00",0.31K,-0.04%
11/23/2023,"7,844.00","7,860.00","7,877.00","7,814.00",1.65K,-0.60%
11/22/2023,"7,891.00","7,928.00","7,932.00","7,860.00",0.86K,-1.23%
11/21/2023,"7,989.00","8,028.00","8,037.00","7,909.00",3.65K,-1.07%
11/20/2023,"8,075.00","8,128.00","8,136.00","8,018.00",1.37K,-0.65%
11/17/2023,"8,128.00","8,123.00","8,181.00","8,078.00",2.36K,0.21%
11/16/2023,"8,111.00","8,088.00","8,144.00","8,088.00",13.20K,0.87%
11/15/2023,"8,041.00","7,996.00","8,126.00","7,990.00",11.45K,-0.72%
11/14/2023,"8,099.00","8,099.00","8,099.00","8,099.00",0.04K,-0.01%
11/13/2023,"8,100.00","8,100.00","8,100.00","8,100.00",,0.00%
11/10/2023,"8,100.00","8,100.00","8,100.00","8,100.00",0.02K,0.00%
11/09/2023,"8,100.00","8,100.00","8,100.00","8,100.00",0.02K,0.00%
11/08/2023,"8,100.00","8,100.00","8,100.00","8,100.00",0.02K,0.33%
11/07/2023,"8,073.00","8,073.00","8,073.00","8,073.00",,0.00%
11/06/2023,"8,073.00","8,073.00","8,073.00","8,073.00",0.00K,0.00%
11/03/2023,"8,073.00","8,073.00","8,073.00","8,073.00",0.01K,0.00%
11/02/2023,"8,073.00","8,082.00","8,082.00","8,070.00",0.02K,-0.12%
11/01/2023,"8,083.00","8,075.00","8,093.00","8,075.00",0.01K,0.06%
10/31/2023,"8,078.00","8,099.00","8,103.00","8,044.00",0.29K,-0.26%
10/30/2023,"8,099.00","8,090.00","8,115.00","8,062.00",0.29K,0.85%
10/27/2023,"8,031.00","7,981.00","8,112.00","7,963.00",0.98K,0.85%
10/26/2023,"7,963.00","7,957.00","8,028.00","7,936.00",2.48K,0.03%
10/25/2023,"7,961.00","7,928.00","7,992.00","7,928.00",3.58K,0.53%
10/24/2023,"7,919.00","7,927.00","7,947.00","7,884.00",34.01K,0.51%
